Model,Accuracy,Precision,Recall,F1-Score,ROC AUC
Logistic Regression,0.7424242424242424,0.7222222222222222,0.7878787878787878,0.7536231884057971,0.8310376492194673
Support Vector Machine,0.803030303030303,0.8125,0.7878787878787878,0.8,0.8200183654729108
K-Nearest Neighbors,0.7424242424242424,0.7352941176470589,0.7575757575757576,0.746268656716418,0.8360881542699725
Random Forest,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.8783287419651056
Gradient Boosting,0.7575757575757576,0.7741935483870968,0.7272727272727273,0.75,0.8769513314967861
XGBoost,0.803030303030303,0.8125,0.7878787878787878,0.8,0.874196510560147
